generation,best_fitness
0,6872
1,6872
2,7377.12
3,8318
4,8318
5,8318
6,8318
7,8318
8,8318
9,8318
10,8318
11,8318
12,8318
13,8318
14,8394
15,9201.12
16,9201.12
17,9201.12
18,9201.12
19,9201.12
20,9201.12
21,9201.12
22,9201.12
23,9201.12
24,9657.12
25,9657.12
26,9850
27,9850
28,9850
29,9850
30,9850
31,9850
32,9850
33,9850
34,10047.9
35,10047.9
36,10047.9
37,10047.9
38,10047.9
39,10047.9
40,10047.9
41,10047.9
42,10047.9
43,10047.9
44,10047.9
45,10047.9
46,10047.9
47,10047.9
48,10047.9
49,10047.9
50,10047.9
51,10047.9
52,10047.9
53,10047.9
54,10047.9
55,10047.9
56,10047.9
57,10047.9
58,10047.9
59,10047.9
60,10047.9
61,10047.9
62,10047.9
63,10047.9
64,10047.9
65,10047.9
66,10047.9
67,10047.9
68,10047.9
69,10047.9
70,10047.9
71,10047.9
72,10047.9
73,10047.9
74,10047.9
75,10047.9
76,10047.9
77,10047.9
78,10047.9
79,10047.9
80,10223.9
81,10223.9
82,10223.9
83,10223.9
84,10223.9
85,10223.9
86,10223.9
87,10223.9
88,10223.9
89,10223.9
90,10223.9
91,10223.9
92,10223.9
93,10223.9
94,10223.9
95,10223.9
96,10223.9
97,10223.9
98,10223.9
99,10223.9
100,10223.9
101,10223.9
102,10223.9
103,10223.9
104,10223.9
105,10223.9
106,10223.9
107,10223.9
108,10223.9
109,10223.9
110,10223.9
111,10223.9
112,10223.9
113,10223.9
114,10223.9
115,10223.9
116,10223.9
117,10223.9
118,10223.9
119,10223.9
120,10223.9
121,10223.9
122,10223.9
123,10223.9
124,10223.9
125,10223.9
126,10223.9
127,10223.9
128,10223.9
129,10223.9
130,10223.9
131,10223.9
132,10223.9
133,10223.9
134,10223.9
135,10223.9
136,10223.9
137,10223.9
138,10223.9
139,10223.9
140,10223.9
141,10223.9
142,10223.9
143,10223.9
144,10223.9
145,10223.9
146,10223.9
147,10223.9
148,10223.9
149,10223.9
150,10223.9
151,10223.9
152,10223.9
153,10764.4
154,10764.4
155,10764.4
156,10764.4
157,10764.4
158,10764.4
159,10764.4
160,10764.4
161,10764.4
162,10764.4
163,10764.4
164,10764.4
165,10764.4
166,10764.4
167,10764.4
168,10764.4
169,10764.4
170,10764.4
171,10764.4
172,10764.4
173,10764.4
174,10764.4
175,10764.4
176,10764.4
177,10764.4
178,10764.4
179,10764.4
180,10764.4
181,10764.4
182,10764.4
183,10764.4
184,10764.4
185,10764.4
186,10764.4
187,10764.4
188,10764.4
189,10764.4
190,10764.4
191,10764.4
192,10764.4
193,10764.4
194,10764.4
195,10764.4
196,10764.4
197,10764.4
198,10764.4
199,10764.4
200,10764.4
201,10764.4
202,10764.4
203,10764.4
204,10764.4
205,10764.4
206,10764.4
207,10764.4
208,10764.4
209,10764.4
210,10764.4
211,10764.4
212,10764.4
213,10764.4
214,10764.4
215,10764.4
216,10764.4
217,10764.4
218,10764.4
219,10764.4
220,10764.4
221,10764.4
222,10764.4
223,10764.4
224,10764.4
225,10764.4
226,10764.4
227,10764.4
228,10764.4
229,10764.4
230,10764.4
231,10764.4
232,10764.4
233,10764.4
234,10764.4
235,10764.4
236,10764.4
237,10764.4
238,10764.4
239,10764.4
240,10764.4
241,10764.4
242,10764.4
243,10764.4
244,10764.4
245,10764.4
246,10764.4
247,10764.4
248,10764.4
249,10764.4
250,10764.4
251,10764.4
252,10764.4
253,10764.4
254,10764.4
255,10764.4
256,10764.4
257,10764.4
258,10764.4
259,10764.4
260,10764.4
261,10764.4
262,10764.4
263,10764.4
264,10764.4
265,10764.4
266,10764.4
267,10764.4
268,10764.4
269,10764.4
270,10764.4
271,10764.4
272,10764.4
273,10764.4
274,10764.4
275,10764.4
276,10764.4
277,10764.4
278,10764.4
279,10764.4
280,10764.4
281,10764.4
282,10764.4
283,10764.4
284,10764.4
285,10764.4
286,10764.4
287,10764.4
288,10764.4
289,10764.4
290,10764.4
291,10764.4
292,10764.4
293,10764.4
294,10764.4
295,10764.4
296,10764.4
297,10764.4
298,10764.4
299,10764.4
